State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1723085,244150,298328,1378150,195275,1291874,223670,660346,93.6,605787,95,495846,70.3,459607,79.6,1046025,607860,69200,0,35275,499431,842919,525,171464,285564,38446,372,171388,249467,38405,347,N/A,93.6,N/A,95,66.4,432618,74.9,660346,97846,95,78944,90.4,41931,34099,2823,91,244426,279846,1972780,636854,95,482121,79.1,171456,271873,38425,367,1347167,220936,282587,660212,95,495820,75.1,171458,285547,38443,372,1377991,208666,260923,164164,33.1,164134,34,159731,34.8,42122,53.4,69654,93247,1241,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6533590,N/A,N/A,7124002,N/A,6678485,N/A,4009213,N/A,3754249,N/A,2944012,N/A,2763194,N/A,4175250,2148340,210000,0,315602,2369511,4416450,22439,914168,1747554,282012,278,913953,1567177,281791,273,N/A,N/A,N/A,N/A,0,2482255,0,4009213,345655,0,174794,0,60579,104827,9388,0,562188,0,0,3955203,0,2916403,0,914143,1719998,281984,278,7042248,0,0,4009022,0,2943947,0,914149,1747528,281992,278,7123758,0,0,1454,0,1454,0,1450,0.1,35,0,515,929,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,2145835,220365,278610,1693302,173892,1550564,201322,785635,80.7,713132,92.6,647425,66.5,590385,76.7,1231255,819580,95000,0,60550,654256,976513,1983,228842,361777,56161,645,228704,304946,56101,634,N/A,80.7,N/A,92.6,62.8,554299,72,785635,207842,95,177156,93.8,73036,93846,9937,337,504318,266968,1135930,761163,90.6,630679,75.1,228829,345056,56150,644,1651190,196615,255515,785481,85.5,647396,70.4,228831,361763,56157,645,1693124,184226,233485,273532,42.2,273497,43.4,266406,45.1,114926,64.9,119205,149568,4734,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,44311925,206316,256913,35484634,165216,33041458,191569,16612817,77.3,15308167,88.8,14011491,65.2,12984727,75.3,25942965,16046560,2322400,0,1435439,13149855,20771743,127597,4792663,7850029,1331993,36806,4790575,6827618,1330300,36234,N/A,77.3,N/A,88.8,60.6,11982223,69.5,16612817,4722685,95,4036304,89.7,1941713,1860583,213169,20839,11533988,256463,985293,16243118,86.9,13755126,73.6,4791851,7595462,1331143,36670,34844650,186375,237013,16604682,81.6,14009779,68.9,4791930,7849887,1331182,36780,35475402,174429,217878,5228842,37.3,5228398,38,5139689,39.6,2367082,58.6,2275033,2852388,96241,5180,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,142100,138878,212967,94303,92165,85022,127423,55393,54.1,47999,71.9,44463,43.5,42704,64,46660,83040,12400,0,12972,71725,9590,16,30372,1980,12102,9,30367,251,12077,9,N/A,54.1,N/A,71.9,33.4,32390,48.5,55393,3723,77.4,3451,71.7,2345,18,1087,1,6730,139859,2953030,51906,65.6,43985,55.6,30371,1511,12094,9,90287,114082,179551,55383,59.7,44459,47.9,30372,1980,12098,9,94293,101586,153090,6097,13.7,6097,13.9,6090,14.3,609,17.6,5707,37,353,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,20010515,188469,246631,14087399,132682,12945527,159555,6774865,63.8,6142261,75.7,5631268,53,5164046,63.6,11546355,7654060,810100,0,329512,5525179,8195729,36979,2112078,3195542,312722,10926,2111061,2730950,312246,9789,N/A,63.8,N/A,75.7,50.8,4931683,60.8,6774865,1426936,94.1,1242345,81.9,677206,527759,34970,2410,3387030,223278,1319130,6591809,73.3,5517493,61.4,2112002,3082034,312599,10858,13781780,153334,222633,6773192,68,5631022,56.5,2112032,3195433,312636,10921,14085534,141409,200891,1904346,33.8,1904017,34.5,1864609,36.1,662367,53.3,857552,1022928,22638,1228,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,314760,186813,274794,315815,187440,275936,240900,146139,86.7,124628,95,131555,78.1,114568,95,209180,82780,22800,0,12375,100497,202842,101,38983,82054,10490,28,38966,65093,10481,28,N/A,86.7,N/A,95,72.6,105348,92,146139,17225,95,16164,95,6628,8935,591,10,43688,272013,1959780,139907,95,127935,95,38982,78436,10489,28,305808,232879,239697,146115,95,131554,86.1,38982,82054,10490,28,315790,206722,206047,45535,34.6,45529,35.6,44335,38.7,10540,65.2,17137,27433,965,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,3240120,228843,290332,2731060,192889,2461626,220575,1207106,85.3,1068752,95,1078195,76.2,961526,86.2,1936660,1179360,124100,0,68374,997666,1664742,278,358962,655245,63974,14,358091,539654,63767,14,N/A,85.3,N/A,95,73.2,919663,82.4,1207106,266737,95,244024,90.9,106981,125388,11651,4,685621,255402,1206980,1154220,95,1038934,85.8,358908,616067,63945,14,2640302,218007,267533,1205912,90.6,1077995,81,358914,655120,63947,14,2730359,205189,243498,509338,47.2,509300,49,491819,51.1,183141,75.1,228538,275350,5449,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,6088075,192962,250721,4857407,153956,4454359,183441,2107385,66.8,1903473,78.4,1909060,60.5,1732965,71.4,3501135,2301440,285500,0,175121,1936149,2745654,483,704085,1043853,160810,312,703867,868076,160715,307,N/A,66.8,N/A,78.4,57.1,1625066,66.9,2107385,545584,95,507925,91.9,266872,226443,14485,125,1442150,260808,1101010,2034995,76,1850446,69.1,704071,985259,160805,311,4725374,176565,227483,2107259,71.2,1909051,64.5,704081,1043850,160808,312,4857284,164129,205718,963179,50.5,963104,52,942017,54.4,391399,77.1,444436,505724,13000,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,3139470,175677,234488,2324039,130048,2137273,159633,1067140,59.7,967980,72.3,935781,52.4,852426,63.7,1775610,1209160,154700,0,84106,879538,1357224,3171,323949,531920,79163,749,323803,448796,79095,732,N/A,59.7,N/A,72.3,49.1,792361,59.2,1067140,273379,94.1,248370,85.4,114201,121744,12118,307,679372,233726,1080080,1035496,69.2,911065,60.9,323940,507239,79145,741,2269209,151745,209941,1067062,63.9,935745,56,323942,531906,79148,749,2323935,139086,187895,373063,39.9,373061,40.9,372944,43.8,161446,65,164258,203248,5479,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
