State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
District of Columbia,1633325,231431,282787,1309642,185568,1237608,214274,631902,89.5,583477,95,479812,68,448248,77.6,979405,585620,68300,0,34652,478838,795644,508,167701,274087,37674,350,167628,242653,37639,328,N/A,89.5,N/A,95,64.1,420550,72.8,631902,95733,95,77723,89,41441,33427,2772,83,238621,273200,1870010,612112,95,469024,76.9,167693,263327,37658,346,1284812,210710,267866,631809,95,479789,72.7,167695,274073,37671,350,1309507,198296,247331,138105,28.8,136910,30.5,68864,39.9,38324,49.3,59282,77741,1065,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dept of Defense,6285570,N/A,N/A,6932483,N/A,6533713,N/A,3873447,N/A,3649562,N/A,2885462,N/A,2719797,N/A,4026070,2049500,210000,0,308881,2319126,4282619,21857,901429,1708509,275291,233,901230,1543257,275079,231,N/A,N/A,N/A,N/A,0,2445490,0,3873447,332226,0,172557,0,59634,103783,9140,0,546691,0,0,3838350,0,2866989,0,901404,1690089,275263,233,6878814,0,0,3873285,0,2885398,0,901410,1708484,275271,233,6932269,0,0,1208,0,1204,0,143,0,31,0,405,793,10,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,2020055,207448,262279,1607779,165110,1483717,192642,753976,77.4,689071,89.5,628955,64.6,578160,75.1,1145315,784940,89800,0,58750,624450,922700,1879,224547,349124,54690,594,224413,298532,54630,585,N/A,77.4,N/A,89.5,60.6,539401,70,753976,204681,95,175678,93,72463,93088,9810,317,493236,261101,1069340,734371,87.4,616650,73.4,224534,336844,54679,593,1574933,187535,240538,753829,82,628926,68.4,224536,349110,54686,594,1607607,174921,219799,227598,36.2,225869,39.1,171885,50.9,107078,61,100569,123184,3832,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,42126435,196140,244242,34154024,159021,31968790,185350,16134576,75.1,14937328,86.6,13682220,63.7,12762013,74,24403135,15443700,2279600,0,1404834,12738322,19889830,121038,4719520,7621990,1305473,35237,4717556,6705789,1303815,34853,N/A,75.1,N/A,86.6,58.9,11731878,68,16134576,4660474,95,4005498,89.1,1927791,1846604,210791,20312,11290958,251059,936697,15834818,84.7,13502477,72.2,4718755,7443899,1304639,35184,33661476,180046,225323,16126683,79.3,13680566,67.3,4718805,7621850,1304677,35234,34145192,167889,207132,4545339,33.2,4515898,35.4,3469956,46.7,2208772,55.1,2011514,2447070,82586,4169,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Federated States of Micronesia,109760,107271,164499,84745,82823,81788,122577,49127,48,47268,70.8,43247,42.3,42174,63.2,16120,81440,12200,0,12784,68875,3078,8,30047,1254,11941,5,30042,209,11918,5,N/A,48,N/A,70.8,31.9,31607,47.4,49127,3682,76.5,3423,71.1,2333,14,1076,0,6489,134850,2280960,48715,61.6,43237,54.6,30046,1253,11933,5,84282,106495,138687,49122,52.9,43243,46.6,30047,1254,11937,5,84740,91294,118249,3922,9.1,3919,9.3,1504,11.9,421,12.3,3572,20,330,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Georgia,18890595,177921,232828,13523815,127374,12514801,154246,6553821,61.7,5975437,73.6,5458389,51.4,5048395,62.2,10751455,7344540,794600,0,322130,5348117,7819630,33938,2068325,3077426,302370,10268,2067361,2669909,301907,9218,N/A,61.7,N/A,73.6,49.2,4812169,59.3,6553821,1403256,92.5,1227946,80.9,668782,522375,34508,2281,3314595,218503,1245300,6406586,71.3,5380812,59.9,2068244,3000107,302250,10211,13292508,147890,210173,6552205,65.8,5458147,54.8,2068272,3077325,302286,10264,13521995,135751,189648,1610851,29.5,1596622,31.6,1093476,41.5,609646,49.6,740224,850311,19399,917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Guam,281460,167049,245722,295402,175324,261425,228231,141545,84,122550,95,127538,75.7,112875,95,180380,78580,22500,0,11781,94828,188740,53,38309,78681,10544,4,38295,64041,10535,4,N/A,84,N/A,95,69.9,103147,90.1,141545,17035,95,16001,95,6568,8858,572,3,42190,262686,1752440,137369,95,125833,95,38308,76978,10543,4,289459,220429,214338,141527,92.6,127537,83.5,38308,78681,10544,4,295383,193363,184249,33678,26.4,33508,29.7,21212,47.6,9393,58.7,12915,20110,653,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,3033250,214232,271796,2289185,161680,2093521,187591,1280742,90.5,1154116,95,908394,64.2,837798,75.1,1798690,1111660,122900,0,59024,747530,1388567,94064,287214,544866,58167,18147,286595,475073,58000,18130,N/A,90.5,N/A,95,60.4,784582,70.3,1280742,310444,95,242825,90.5,100180,130084,11143,1418,617741,230116,1129920,1235811,95,891285,73.6,287162,527856,58131,18136,2228223,183982,250452,1279593,95,908218,68.3,287167,544781,58133,18137,2288572,171989,227952,168939,18.6,168065,20.1,122183,26.8,79557,32.8,55132,112026,1755,26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,5805975,184020,239103,4688866,148614,4327959,178235,2061469,65.3,1870383,77,1871138,59.3,1711069,70.5,3321275,2204500,280200,0,171640,1880820,2635961,445,696959,1016478,157415,286,696747,856714,157325,283,N/A,65.3,N/A,77,55.7,1597909,65.8,2061469,542292,95,506105,91.5,265997,225628,14357,123,1421611,257094,1049990,1997893,74.7,1824758,68.2,696946,970115,157412,285,4578049,171060,216942,2061376,69.7,1871130,63.2,696955,1016476,157413,286,4688777,158435,196185,864106,46.2,857090,50.1,611645,63.6,375036,74.1,405506,447011,11574,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Idaho,2979370,166719,222530,2044605,114411,2042662,152567,936625,52.4,932686,69.7,829459,46.4,826812,61.8,1678090,1150280,151000,0,80371,843076,1118159,2999,316599,436683,75466,711,316572,434093,75444,703,N/A,52.4,N/A,69.7,43.1,766850,57.3,936625,270304,93,246675,84.9,113378,121027,11971,299,666306,229231,1025000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328904,39.7,328878,39.8,239903,52.4,151849,61.6,144418,179670,4749,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
